filename,latex_symbol
Upper_A.png,A
Upper_B.png,B
Upper_C.png,C
Upper_D.png,D
Upper_E.png,E
Upper_F.png,F
Upper_G.png,G
Upper_H.png,H
Upper_I.png,I
Upper_J.png,J
Upper_K.png,K
Upper_L.png,L
Upper_M.png,M
Upper_N.png,N
Upper_O.png,O
Upper_P.png,P
Upper_Q.png,Q
Upper_R.png,R
Upper_S.png,S
Upper_T.png,T
Upper_U.png,U
Upper_V.png,V
Upper_W.png,W
Upper_X.png,X
Upper_Y.png,Y
Upper_Z.png,Z
Upper_Delta.png,\Delta
Upper_Downarrow.png,\Downarrow
Upper_Gamma.png,\Gamma
Upper_Im.png,\Im
Upper_Lambda.png,\Lambda
Upper_Leftarrow.png,\Leftarrow
Upper_Leftrightarrow.png,\Leftrightarrow
Upper_Omega.png,\Omega
Upper_Phi.png,\Phi
Upper_Pi.png,\Pi
Upper_Psi.png,\Psi
Upper_Re.png,\Re
Upper_Rightarrow.png,\Rightarrow
Upper_Sigma.png,\Sigma
Upper_Theta.png,\Theta
Upper_Uparrow.png,\Uparrow
Upper_Updownarrow.png,\Updownarrow
Upper_Upsilon.png,\Upsilon
Upper_Xi.png,\Xi
alpha.png,\alpha
approx.png,\approx
beta.png,\beta
blacksquare.png,\blacksquare
boxtimes.png,\boxtimes
cap.png,\cap
cdot.png,\cdot
cdots.png,\cdots
chi.png,\chi
complement.png,\complement
cong.png,\cong
cup.png,\cup
delta.png,\delta
div.png,\div
downarrow.png,\downarrow
emptyset.png,\emptyset
epsilon.png,\epsilon
equiv.png,\equiv
eta.png,\eta
exists.png,\exists
forall.png,\forall
gamma.png,\gamma
geq.png,\geq
in.png,\in
infty.png,\infty
int.png,\int
iota.png,\iota
kappa.png,\kappa
lambda.png,\lambda
leftarrow.png,\leftarrow
leftharpoondown.png,\leftharpoondown
leftharpoonup.png,\leftharpoonup
leftrightarrow.png,\leftrightarrow
leq.png,\leq
longmapsto.png,\longmapsto
mapsto.png,\mapsto
mu.png,\mu
nabla.png,\nabla
nearrow.png,\nearrow
neg.png,\neg
neq.png,\neq
nexists.png,\nexists
notin.png,\notin
nu.png,\nu
nwarrow.png,\nwarrow
omega.png,\omega
oplus.png,\oplus
otimes.png,\otimes
partial.png,\partial
perp.png,\perp
phi.png,\phi
pi.png,\pi
psi.png,\psi
rho.png,\rho
rightarrow.png,\rightarrow
rightharpoondown.png,\rightharpoondown
rightharpoonup.png,\rightharpoonup
rightleftharpoons.png,\rightleftharpoons
searrow.png,\searrow
sigma.png,\sigma
simeq.png,\simeq
subset.png,\subset
sum.png,\sum
swarrow.png,\swarrow
tau.png,\tau
theta.png,\theta
times.png,\times
triangle.png,\triangle
uparrow.png,\uparrow
upsilon.png,\upsilon
varepsilon.png,\varepsilon
varnothing.png,\varnothing
varphi.png,\varphi
varrho.png,\varrho
vartheta.png,\vartheta
vee.png,\vee
wedge.png,\wedge
wp.png,\wp
xi.png,\xi
zeta.png,\zeta
a.png,a
b.png,b
c.png,c
d.png,d
e.png,e
f.png,f
g.png,g
h.png,h
i.png,i
j.png,j
k.png,k
l.png,l
m.png,m
n.png,n
o.png,o
p.png,p
q.png,q
r.png,r
s.png,s
t.png,t
u.png,u
v.png,v
w.png,w
x.png,x
y.png,y
z.png,z
space.png,~
